Time (s),Cars,Trucks,Buses,Total Vehicles,Green Light (s),Red Light (s),Current Phase,Emergency Detected,timestamp,vehicle,count,emergency
,,,,,,,,,2025-07-25 09:38:38,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:38,car,12.0,False
,,,,,,,,,2025-07-25 09:38:38,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:38,car,13.0,False
,,,,,,,,,2025-07-25 09:38:38,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:38,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:38,car,15.0,False
,,,,,,,,,2025-07-25 09:38:38,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:38,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,15.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,12.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,13.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,14.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,16.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,16.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,17.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,17.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,16.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,15.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:39,car,16.0,False
,,,,,,,,,2025-07-25 09:38:39,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,15.0,False
,,,,,,,,,2025-07-25 09:38:40,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,15.0,False
,,,,,,,,,2025-07-25 09:38:40,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:40,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,14.0,False
,,,,,,,,,2025-07-25 09:38:40,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,16.0,False
,,,,,,,,,2025-07-25 09:38:40,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,15.0,False
,,,,,,,,,2025-07-25 09:38:40,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,14.0,False
,,,,,,,,,2025-07-25 09:38:40,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,15.0,False
,,,,,,,,,2025-07-25 09:38:40,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,14.0,False
,,,,,,,,,2025-07-25 09:38:40,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,15.0,False
,,,,,,,,,2025-07-25 09:38:40,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:40,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:40,car,15.0,False
,,,,,,,,,2025-07-25 09:38:40,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,14.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,14.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,14.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,14.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,14.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,14.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,14.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,14.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,16.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:41,car,15.0,False
,,,,,,,,,2025-07-25 09:38:41,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,15.0,False
,,,,,,,,,2025-07-25 09:38:42,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,14.0,False
,,,,,,,,,2025-07-25 09:38:42,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,12.0,False
,,,,,,,,,2025-07-25 09:38:42,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:42,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,16.0,False
,,,,,,,,,2025-07-25 09:38:42,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,14.0,False
,,,,,,,,,2025-07-25 09:38:42,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:42,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,14.0,False
,,,,,,,,,2025-07-25 09:38:42,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:42,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,15.0,False
,,,,,,,,,2025-07-25 09:38:42,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,14.0,False
,,,,,,,,,2025-07-25 09:38:42,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,15.0,False
,,,,,,,,,2025-07-25 09:38:42,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:42,car,14.0,False
,,,,,,,,,2025-07-25 09:38:42,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,15.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,13.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,14.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,13.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,15.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,16.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,15.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,16.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,16.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,14.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:43,car,14.0,False
,,,,,,,,,2025-07-25 09:38:43,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,14.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,14.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,14.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,14.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,13.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,13.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,13.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,14.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,13.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,15.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:44,car,16.0,False
,,,,,,,,,2025-07-25 09:38:44,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,15.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,15.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,15.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,15.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,16.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,15.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,13.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,14.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,15.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,15.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:45,car,14.0,False
,,,,,,,,,2025-07-25 09:38:45,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,14.0,False
,,,,,,,,,2025-07-25 09:38:46,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,15.0,False
,,,,,,,,,2025-07-25 09:38:46,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,16.0,False
,,,,,,,,,2025-07-25 09:38:46,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:46,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,14.0,False
,,,,,,,,,2025-07-25 09:38:46,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,14.0,False
,,,,,,,,,2025-07-25 09:38:46,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,15.0,False
,,,,,,,,,2025-07-25 09:38:46,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:46,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,15.0,False
,,,,,,,,,2025-07-25 09:38:46,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,14.0,False
,,,,,,,,,2025-07-25 09:38:46,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,15.0,False
,,,,,,,,,2025-07-25 09:38:46,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,16.0,False
,,,,,,,,,2025-07-25 09:38:46,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:46,car,17.0,False
,,,,,,,,,2025-07-25 09:38:46,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,16.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,17.0,False
,,,,,,,,,2025-07-25 09:38:47,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,17.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,16.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,16.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,15.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,17.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,15.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,17.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,15.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:47,car,16.0,False
,,,,,,,,,2025-07-25 09:38:47,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,17.0,False
,,,,,,,,,2025-07-25 09:38:48,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:48,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,17.0,False
,,,,,,,,,2025-07-25 09:38:48,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:48,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,18.0,False
,,,,,,,,,2025-07-25 09:38:48,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,18.0,False
,,,,,,,,,2025-07-25 09:38:48,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:48,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,15.0,False
,,,,,,,,,2025-07-25 09:38:48,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,17.0,False
,,,,,,,,,2025-07-25 09:38:48,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:48,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,17.0,False
,,,,,,,,,2025-07-25 09:38:48,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:48,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,17.0,False
,,,,,,,,,2025-07-25 09:38:48,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,16.0,False
,,,,,,,,,2025-07-25 09:38:48,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:48,car,15.0,False
,,,,,,,,,2025-07-25 09:38:48,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,16.0,False
,,,,,,,,,2025-07-25 09:38:49,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,15.0,False
,,,,,,,,,2025-07-25 09:38:49,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,15.0,False
,,,,,,,,,2025-07-25 09:38:49,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,15.0,False
,,,,,,,,,2025-07-25 09:38:49,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,16.0,False
,,,,,,,,,2025-07-25 09:38:49,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,16.0,False
,,,,,,,,,2025-07-25 09:38:49,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,16.0,False
,,,,,,,,,2025-07-25 09:38:49,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,16.0,False
,,,,,,,,,2025-07-25 09:38:49,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,16.0,False
,,,,,,,,,2025-07-25 09:38:49,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,16.0,False
,,,,,,,,,2025-07-25 09:38:49,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:49,car,17.0,False
,,,,,,,,,2025-07-25 09:38:49,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,17.0,False
,,,,,,,,,2025-07-25 09:38:50,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:50,car,16.0,False
,,,,,,,,,2025-07-25 09:38:50,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,16.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,16.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,15.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:51,car,16.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,15.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,14.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,15.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,15.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,15.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,14.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:51,car,14.0,False
,,,,,,,,,2025-07-25 09:38:51,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:52,car,14.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:52,car,13.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:52,car,11.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:52,car,14.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:52,car,13.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:52,car,13.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:52,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:52,car,13.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:52,car,14.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:52,car,14.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:52,car,13.0,False
,,,,,,,,,2025-07-25 09:38:52,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:52,bus,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,12.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,12.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:53,car,14.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,14.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,13.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,14.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,15.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,15.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,14.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,13.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:53,car,12.0,False
,,,,,,,,,2025-07-25 09:38:53,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,15.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,15.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,13.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,14.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,12.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,12.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,13.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,11.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,12.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,15.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:54,car,12.0,False
,,,,,,,,,2025-07-25 09:38:54,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:55,car,12.0,False
,,,,,,,,,2025-07-25 09:38:55,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:55,car,13.0,False
,,,,,,,,,2025-07-25 09:38:55,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:55,car,14.0,False
,,,,,,,,,2025-07-25 09:38:55,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:55,car,12.0,False
,,,,,,,,,2025-07-25 09:38:55,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:55,car,13.0,False
,,,,,,,,,2025-07-25 09:38:55,car,12.0,False
,,,,,,,,,2025-07-25 09:38:55,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:55,car,13.0,False
,,,,,,,,,2025-07-25 09:38:55,car,14.0,False
,,,,,,,,,2025-07-25 09:38:55,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:55,car,14.0,False
,,,,,,,,,2025-07-25 09:38:55,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:55,car,12.0,False
,,,,,,,,,2025-07-25 09:38:55,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:55,car,10.0,False
,,,,,,,,,2025-07-25 09:38:55,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,10.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,11.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,12.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,12.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,14.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,14.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,14.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,13.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,13.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,16.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:56,car,15.0,False
,,,,,,,,,2025-07-25 09:38:56,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:57,car,16.0,False
,,,,,,,,,2025-07-25 09:38:57,car,15.0,False
,,,,,,,,,2025-07-25 09:38:57,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:57,car,15.0,False
,,,,,,,,,2025-07-25 09:38:57,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:57,car,13.0,False
,,,,,,,,,2025-07-25 09:38:57,car,14.0,False
,,,,,,,,,2025-07-25 09:38:57,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:57,car,16.0,False
,,,,,,,,,2025-07-25 09:38:57,car,15.0,False
,,,,,,,,,2025-07-25 09:38:57,car,14.0,False
,,,,,,,,,2025-07-25 09:38:57,car,15.0,False
,,,,,,,,,2025-07-25 09:38:57,car,14.0,False
,,,,,,,,,2025-07-25 09:38:57,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:57,car,14.0,False
,,,,,,,,,2025-07-25 09:38:58,car,15.0,False
,,,,,,,,,2025-07-25 09:38:58,car,13.0,False
,,,,,,,,,2025-07-25 09:38:58,car,15.0,False
,,,,,,,,,2025-07-25 09:38:58,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:58,car,13.0,False
,,,,,,,,,2025-07-25 09:38:58,car,13.0,False
,,,,,,,,,2025-07-25 09:38:58,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:58,car,14.0,False
,,,,,,,,,2025-07-25 09:38:58,car,13.0,False
,,,,,,,,,2025-07-25 09:38:58,car,14.0,False
,,,,,,,,,2025-07-25 09:38:58,car,13.0,False
,,,,,,,,,2025-07-25 09:38:58,car,15.0,False
,,,,,,,,,2025-07-25 09:38:58,car,14.0,False
,,,,,,,,,2025-07-25 09:38:59,car,11.0,False
,,,,,,,,,2025-07-25 09:38:59,truck,2.0,False
,,,,,,,,,2025-07-25 09:38:59,car,11.0,False
,,,,,,,,,2025-07-25 09:38:59,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:59,car,12.0,False
,,,,,,,,,2025-07-25 09:38:59,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:59,car,11.0,False
,,,,,,,,,2025-07-25 09:38:59,car,14.0,False
,,,,,,,,,2025-07-25 09:38:59,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:59,car,11.0,False
,,,,,,,,,2025-07-25 09:38:59,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:59,car,13.0,False
,,,,,,,,,2025-07-25 09:38:59,truck,1.0,False
,,,,,,,,,2025-07-25 09:38:59,car,11.0,False
,,,,,,,,,2025-07-25 09:38:59,car,10.0,False
